Bile_acid,Nonhydroxy_36.02,Nonhydroxy_64.07,Nonhydroxy_78.05,Nonhydroxy_80.06,Nonhydroxy_95.98,Nonhydroxy_96.06,Dihydroxy_39.01,Dihydroxy_41.06,Dihydroxy_50.05,Dihydroxy_62.05,Dihydroxy_64.03,Dihydroxy_69.02,Dihydroxy_70.98,Dihydroxy_71.04,Dihydroxy_73.04,Dihydroxy_74.05,Dihydroxy_85.05,Dihydroxy_86.97,Dihydroxy_87.03,Dihydroxy_87.04,Dihydroxy_88.99,Dihydroxy_99.02,Dihydroxy_99.07,Dihydroxy_101.05,Dihydroxy_103.08,Dihydroxy_104.99,Dihydroxy_110.05,Dihydroxy_111.03,Dihydroxy_113.08,Dihydroxy_113.09,Dihydroxy_114.04,Dihydroxy_114.08,Dihydroxy_123,Dihydroxy_128.06,Dihydroxy_128.09,Dihydroxy_128.1,Dihydroxy_129.04,Dihydroxy_131.04,Dihydroxy_131.07,Dihydroxy_147.04,Dihydroxy_147.07,Dihydroxy_157.09,Dihydroxy_163.06,Dihydroxy_163.07,Dihydroxy_175.13,Dihydroxy_186.08,Dihydroxy_356.27,Trihydroxy_39.01,Trihydroxy_41.03,Trihydroxy_52.97,Trihydroxy_53.01,Trihydroxy_53.03,Trihydroxy_54.05,Trihydroxy_56.93,Trihydroxy_60.04,Trihydroxy_70.98,Trihydroxy_70.99,Trihydroxy_71.04,Trihydroxy_73.03,Trihydroxy_73.04,Trihydroxy_74,Trihydroxy_74.05,Trihydroxy_85.05,Trihydroxy_87.04,Trihydroxy_88.99,Trihydroxy_89,Trihydroxy_89.03,Trihydroxy_101.05,Trihydroxy_103.01,Trihydroxy_104.99,Trihydroxy_113.08,Trihydroxy_113.09,Trihydroxy_114.04,Trihydroxy_114.08,Trihydroxy_124.03,Trihydroxy_126.11,Trihydroxy_128.06,Trihydroxy_128.09,Trihydroxy_128.1,Trihydroxy_128.96,Trihydroxy_128.99,Trihydroxy_129.03,Trihydroxy_129.04,Trihydroxy_129.05,Trihydroxy_137.01,Trihydroxy_137.06,Trihydroxy_147.04,Trihydroxy_147.07,Trihydroxy_163.06,Trihydroxy_172.05,Trihydroxy_186.07,Trihydroxy_186.08,Trihydroxy_372.26,Trihydroxy_372.27,Trihydroxy_389.29,Trihydroxy_391.31,Trihydroxy_407.3,Trihydroxy_407.32,Tetrahydroxy_55.02,Tetrahydroxy_88.99,Tetrahydroxy_106.01,Tetrahydroxy_372.27,Tetrahydroxy_388.26,Tetrahydroxy_405.29,Tetrahydroxy_495.27,NCBI,no rank,class,phylum,subphylum,superkingdom,family,genus,order,suborder,clade,species group,species subgroup,species,subclass,kingdom,subkingdom,subgenus,section,infraorder,parvorder,subfamily,superclass,superfamily,superorder,subspecies,strain
Bifidobacterium longum subsp. longum 1-6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161744,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium longum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bifidobacterium longum subsp. longum,N/A
Bifidobacterium longum subsp. longum 2-2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161745,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium longum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bifidobacterium longum subsp. longum,N/A
Bifidobacterium longum subsp. longum 35B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161904,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium longum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bifidobacterium longum subsp. longum,N/A
Bifidobacterium longum subsp. longum 44B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161743,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium longum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bifidobacterium longum subsp. longum,N/A
Bifidobacterium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41200,unclassified Bifidobacterium,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium sp. MSTE12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161409,unclassified Bifidobacterium,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corynebacterium sp. HFH0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078764,unclassified Corynebacterium,Actinomycetia,Actinobacteria,N/A,Bacteria,Corynebacteriaceae,Corynebacterium,Corynebacteriales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corynebacterium tuscaniense DNF00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401064,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Corynebacteriaceae,Corynebacterium,Corynebacteriales,N/A,Terrabacteria group,N/A,N/A,Corynebacterium tuscaniense,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL001PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765105,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL002PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765115,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL002PA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765116,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL002PA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765117,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL005PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765096,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL005PA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765097,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL005PA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765098,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL005PA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765099,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cutibacterium acnes HL007PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765118,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Cutibacterium,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,Cutibacterium acnes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
