Bile,delta,count
Trihydroxy,4.01,385
Dihydroxy,147.07,364
Trihydroxy,124.04,360
Tetrahydroxy,198.14,357
Trihydroxy,128.06,351
Pentahydroxy,43.94,350
Dihydroxy,106.02,350
Trihydroxy,374.28,343
Pentahydroxy,108.08,343
Trihydroxy,73.07,340
Dihydroxy,390.28,339
Trihydroxy,17,337
Trihydroxy,22.02,334
Trihydroxy,390.27,331
Pentahydroxy,74.07,331
Trihydroxy,221.02,328
Trihydroxy,372.26,327
Dihydroxy,444.35,325
Tetrahydroxy,74.07,320
Dihydroxy,74.05,317
Trihydroxy,186.97,311
Trihydroxy,47.47,310
Pentahydroxy,18.99,309
Dihydroxy,3.99,306
Trihydroxy,162.05,305
Trihydroxy,233.05,305
Trihydroxy,72.19,302
Dihydroxy,512.38,301
Dihydroxy,89,299
Dihydroxy,400.3,298
Tetrahydroxy,18.99,297
Trihydroxy,163.06,295
Tetrahydroxy,150.94,293
Trihydroxy,129.04,292
Trihydroxy,639.32,291
Trihydroxy,152.06,289
Tetrahydroxy,2.02,288
Dihydroxy,94.04,287
Tetrahydroxy,55.03,287
Monohydroxy,40.03,285
Dihydroxy,331.27,284
Trihydroxy,71.04,282
Trihydroxy,356.27,278
Dihydroxy,7.99,278
Trihydroxy,117.02,276
Tetrahydroxy,200.16,273
Dihydroxy,31.04,272
Dihydroxy,117.02,272
Dihydroxy,73.04,271
Trihydroxy,392.29,270
Trihydroxy,0.99,267
Trihydroxy,114.04,264
Pentahydroxy,70.98,264
Monohydroxy,4,264
Pentahydroxy,167.96,264
Trihydroxy,163.03,262
Pentahydroxy,72.04,261
Dihydroxy,55.03,260
Trihydroxy,89.03,259
Trihydroxy,186.08,258
Dihydroxy,163.06,257
Trihydroxy,21.98,256
Dihydroxy,89.03,255
Trihydroxy,128.1,255
Monohydroxy,23.02,254
Trihydroxy,38.05,251
Trihydroxy,73,249
Trihydroxy,74.06,247
Dihydroxy,374.29,241
Dihydroxy,154,238
Trihydroxy,154,238
Dihydroxy,99.01,237
Tetrahydroxy,424.28,236
Trihydroxy,22,233
Trihydroxy,72.13,231
Trihydroxy,96.98,231
Nonhydroxy,18.02,231
Trihydroxy,427.26,231
Trihydroxy,186.05,230
Trihydroxy,31.04,229
Dihydroxy,57.06,228
Trihydroxy,56.03,228
Trihydroxy,71.02,227
Trihydroxy,27.05,226
Trihydroxy,86.98,225
Trihydroxy,114.08,224
Trihydroxy,19.02,224
Trihydroxy,123,222
Tetrahydroxy,73.04,221
Trihydroxy,18.99,220
Pentahydroxy,34.96,219
Dihydroxy,606.3,213
Monohydroxy,89,212
Dihydroxy,113.09,210
Dihydroxy,557.44,206
Trihydroxy,35.01,206
Trihydroxy,782.21,204
Dihydroxy,54.09,204
Tetrahydroxy,407.3,204
Trihydroxy,816.57,203
Trihydroxy,493.09,201
Trihydroxy,15.01,200
Trihydroxy,113.08,200
Dihydroxy,22.02,196
Dihydroxy,176.03,196
Dihydroxy,445.36,196
Trihydroxy,79.96,195
Trihydroxy,72.12,191
Trihydroxy,245.99,189
Dihydroxy,128.1,189
Trihydroxy,606.3,189
Dihydroxy,513.38,189
Trihydroxy,388.26,188
Dihydroxy,515.29,187
Trihydroxy,37.02,187
Trihydroxy,215.04,187
Trihydroxy,39.02,186
Pentahydroxy,92.05,185
Trihydroxy,101.05,185
Dihydroxy,332.27,184
Dihydroxy,40.03,184
Trihydroxy,485.09,182
Trihydroxy,113.03,181
Trihydroxy,53.89,181
Trihydroxy,23.02,179
Trihydroxy,231.1,179
Dihydroxy,282.26,178
Trihydroxy,54.99,177
Dihydroxy,202.96,176
Dihydroxy,5,176
Dihydroxy,175.05,176
Trihydroxy,72.09,175
Trihydroxy,223.11,174
Trihydroxy,99.07,174
Monohydroxy,197.01,173
Trihydroxy,518.64,173
Trihydroxy,105.03,172
Trihydroxy,493.6,172
Dihydroxy,131.04,172
Dihydroxy,55.01,171
Monohydroxy,135.03,170
Nonhydroxy,18.03,170
Tetrahydroxy,72.05,169
Pentahydroxy,88.99,169
Tetrahydroxy,90.07,169
Dihydroxy,595.24,167
Trihydroxy,612.43,166
Trihydroxy,2.01,166
Dihydroxy,70.99,166
Dihydroxy,14.02,165
Trihydroxy,57.03,164
Monohydroxy,99.04,163
Dihydroxy,2.02,163
Trihydroxy,188,162
Tetrahydroxy,72.06,159
Dihydroxy,129.04,158
Pentahydroxy,110.09,158
Trihydroxy,425.31,157
Trihydroxy,152.99,156
Trihydroxy,38.03,156
Trihydroxy,53,155
Trihydroxy,42.01,155
Monohydroxy,37.02,153
Trihydroxy,164.06,153
Dihydroxy,36.28,153
Trihydroxy,111.16,152
Trihydroxy,219.07,152
Trihydroxy,72.05,152
Trihydroxy,185.98,151
Trihydroxy,193.06,151
Trihydroxy,232.03,149
Dihydroxy,135.03,148
Dihydroxy,99.07,147
Dihydroxy,186.08,147
Dihydroxy,113.08,147
Tetrahydroxy,41.03,147
Tetrahydroxy,86.98,146
Dihydroxy,71.02,146
Dihydroxy,157.09,145
Dihydroxy,372.27,144
Trihydroxy,408.28,143
Trihydroxy,204,143
Trihydroxy,186.11,142
Monohydroxy,22.02,142
Tetrahydroxy,0.99,142
Tetrahydroxy,35.02,142
Trihydroxy,201.97,142
Trihydroxy,154.01,141
Trihydroxy,118.97,141
Trihydroxy,36.06,140
Tetrahydroxy,211.07,140
Trihydroxy,186.1,139
Trihydroxy,179.08,139
Monohydroxy,36.1,137
Trihydroxy,69,136
Tetrahydroxy,8.03,136
Trihydroxy,314.19,136
Tetrahydroxy,23.02,136
Tetrahydroxy,36.03,136
Trihydroxy,223.62,135
Trihydroxy,55.03,135
Monohydroxy,124.03,135
Tetrahydroxy,203,134
Trihydroxy,350.21,134
Trihydroxy,3,133
Monohydroxy,0.98,133
Trihydroxy,37.03,133
Trihydroxy,128.09,132
Trihydroxy,510.12,132
Trihydroxy,17.02,132
Trihydroxy,108.04,131
Trihydroxy,168.04,131
Dihydroxy,56.05,130
Tetrahydroxy,2.99,129
Trihydroxy,72.1,129
Tetrahydroxy,408.29,128
Dihydroxy,91.04,128
Trihydroxy,38,128
Trihydroxy,188.97,128
Trihydroxy,539.36,127
Monohydroxy,0,127
Monohydroxy,233.05,126
Tetrahydroxy,78.97,125
Dihydroxy,41.03,125
Pentahydroxy,55.03,125
Trihydroxy,72.99,125
Dihydroxy,197.01,124
Tetrahydroxy,73.03,123
Trihydroxy,522.33,123
Dihydroxy,193.06,123
Pentahydroxy,110.1,122
Tetrahydroxy,57.02,122
Trihydroxy,1.01,122
Tetrahydroxy,56.04,121
Tetrahydroxy,461.26,120
Trihydroxy,136.03,120
Dihydroxy,8.03,120
Monohydroxy,117.02,119
Trihydroxy,196.1,119
Trihydroxy,799.23,118
Dihydroxy,88.98,117
Trihydroxy,427.76,117
Trihydroxy,16.96,117
Tetrahydroxy,56.05,116
Pentahydroxy,70.99,116
Monohydroxy,107,116
Tetrahydroxy,42.02,116
Dihydroxy,72.02,115
Trihydroxy,261.1,115
Trihydroxy,129.06,114
Dihydroxy,154.01,114
Monohydroxy,41.03,114
Monohydroxy,36.03,114
Trihydroxy,280.05,113
Tetrahydroxy,17.01,113
Trihydroxy,391.3,112
Trihydroxy,135.03,112
Trihydroxy,510.13,112
Pentahydroxy,19,112
Trihydroxy,138.01,110
Trihydroxy,166.93,109
Trihydroxy,230,109
Trihydroxy,264.25,108
Dihydroxy,530.39,108
Trihydroxy,364.65,108
Dihydroxy,54.01,108
Pentahydroxy,167.97,108
Trihydroxy,204.14,107
Trihydroxy,105.02,106
Dihydroxy,89.05,106
Dihydroxy,37.02,106
Trihydroxy,111.05,106
Dihydroxy,136.98,106
Monohydroxy,3.99,105
Trihydroxy,69.98,105
Trihydroxy,406.28,104
Dihydroxy,215.12,104
Monohydroxy,36,102
Trihydroxy,73.05,102
Trihydroxy,36.03,102
Trihydroxy,150.05,102
Trihydroxy,175.05,101
Tetrahydroxy,51.99,101
Trihydroxy,56.04,100
Trihydroxy,216.16,100
Trihydroxy,176.03,100
Monohydroxy,376.3,100
Trihydroxy,21.01,99
Tetrahydroxy,92.08,99
Pentahydroxy,52.98,98
Trihydroxy,18.97,98
Trihydroxy,122.01,97
Dihydroxy,338.26,97
Dihydroxy,202.95,97
Trihydroxy,444.61,97
Dihydroxy,88.93,97
Trihydroxy,113.02,96
Dihydroxy,37.03,96
Dihydroxy,54,96
Dihydroxy,321.27,95
Trihydroxy,799.24,95
Dihydroxy,298.19,95
Tetrahydroxy,312.17,95
Trihydroxy,54.01,95
Trihydroxy,59.99,95
Tetrahydroxy,134.98,95
Trihydroxy,36.2,94
Trihydroxy,515.29,94
Dihydroxy,3.01,94
Dihydroxy,128.09,93
Tetrahydroxy,22.01,93
Trihydroxy,36.95,93
Dihydroxy,339.28,93
Trihydroxy,16.98,92
Tetrahydroxy,370.25,92
Trihydroxy,5.99,92
Trihydroxy,22.03,91
Trihydroxy,184.95,91
Dihydroxy,37,91
Trihydroxy,115.03,91
Dihydroxy,35.01,91
Trihydroxy,93.04,90
Dihydroxy,101.05,90
Trihydroxy,148.07,89
Dihydroxy,506.34,89
Tetrahydroxy,168.04,88
Dihydroxy,147.04,88
Tetrahydroxy,192,88
Trihydroxy,236.1,88
Dihydroxy,58.04,87
Dihydroxy,56.03,87
Dihydroxy,129.06,86
Tetrahydroxy,38,86
Trihydroxy,184.94,86
Tetrahydroxy,36.98,85
Dihydroxy,56.06,85
Dihydroxy,21.98,85
Trihydroxy,78.02,85
Trihydroxy,392.3,85
Monohydroxy,36.04,84
Pentahydroxy,21,84
Trihydroxy,29.03,84
Trihydroxy,383.62,84
Trihydroxy,425.32,84
Dihydroxy,784.58,83
Trihydroxy,126.94,83
Trihydroxy,404.26,82
Trihydroxy,43.04,82
Pentahydroxy,73.04,82
Dihydroxy,18.99,82
Trihydroxy,53.02,82
Trihydroxy,166.94,81
Pentahydroxy,74.08,80
Tetrahydroxy,185.97,80
Trihydroxy,72.02,80
Trihydroxy,535.67,80
Monohydroxy,37,80
Tetrahydroxy,54.99,80
Tetrahydroxy,2.01,79
Dihydroxy,96.98,79
Trihydroxy,6.03,78
Trihydroxy,41.02,78
Dihydroxy,287.22,78
Tetrahydroxy,70.99,78
Dihydroxy,15.01,78
Pentahydroxy,92.09,78
Trihydroxy,85.05,78
Tetrahydroxy,203.99,78
Monohydroxy,18.02,77
Trihydroxy,89.04,77
Trihydroxy,408.79,77
Trihydroxy,96.99,77
Dihydroxy,68.97,76
Dihydroxy,173.03,76
Trihydroxy,54.11,76
Monohydroxy,247.06,76
Trihydroxy,161.07,76
Trihydroxy,5,76
Trihydroxy,110.08,75
Trihydroxy,486.31,75
Tetrahydroxy,71.02,75
Pentahydroxy,27.99,75
Trihydroxy,19.01,75
Dihydroxy,252.09,75
Tetrahydroxy,38.99,75
Trihydroxy,0.96,75
Trihydroxy,39.48,74
Trihydroxy,36.13,74
Trihydroxy,639.33,74
Tetrahydroxy,108.04,74
Tetrahydroxy,87.01,74
Trihydroxy,185.02,73
Dihydroxy,173.04,73
Tetrahydroxy,46.06,73
Trihydroxy,137.99,73
Trihydroxy,117.03,72
Pentahydroxy,109.06,72
Monohydroxy,20.03,72
Tetrahydroxy,73,71
Trihydroxy,236.06,71
Trihydroxy,224.98,71
Trihydroxy,54.04,71
Trihydroxy,818.58,71
Monohydroxy,36.15,71
Dihydroxy,54.04,71
Dihydroxy,60.04,70
Monohydroxy,0.01,70
Dihydroxy,123,70
Trihydroxy,535.66,70
Tetrahydroxy,23.49,70
Trihydroxy,52.01,70
Trihydroxy,485.08,70
Pentahydroxy,109.12,69
Trihydroxy,162.06,69
Tetrahydroxy,134.05,69
Trihydroxy,444.6,69
Trihydroxy,36,68
Trihydroxy,47.48,68
Trihydroxy,246.24,68
Trihydroxy,36.98,68
Dihydroxy,108.02,68
Dihydroxy,86.98,67
Dihydroxy,124.02,67
Trihydroxy,59.05,67
Trihydroxy,604.28,67
Trihydroxy,384.13,67
Tetrahydroxy,105.02,66
Trihydroxy,52.03,66
Trihydroxy,320.25,66
Trihydroxy,8.03,66
Pentahydroxy,108.06,66
Monohydroxy,110.04,66
Pentahydroxy,35.02,66
Trihydroxy,95.07,66
Trihydroxy,71.63,66
Dihydroxy,54.16,65
Trihydroxy,493.59,65
Tetrahydroxy,216.16,65
Dihydroxy,54.07,65
Nonhydroxy,162.04,65
Trihydroxy,154.04,65
Trihydroxy,60.03,64
Dihydroxy,26.04,64
Trihydroxy,7.99,64
Trihydroxy,673.38,64
Trihydroxy,72.21,64
Trihydroxy,10.06,64
Trihydroxy,109.03,64
Tetrahydroxy,19.02,64
Monohydroxy,162.04,64
Dihydroxy,64.55,63
Trihydroxy,389.3,63
Trihydroxy,70.08,63
Trihydroxy,702.25,63
Trihydroxy,222.11,62
Trihydroxy,52,62
Trihydroxy,168.96,62
Dihydroxy,392.3,62
Trihydroxy,145.05,62
Trihydroxy,99.01,62
Monohydroxy,247.05,62
Trihydroxy,249.06,61
Dihydroxy,54.08,61
Dihydroxy,99.04,61
Trihydroxy,18.03,61
Trihydroxy,137.01,61
Monohydroxy,203.98,61
Trihydroxy,77.06,61
Trihydroxy,250.08,61
Trihydroxy,127.04,61
Dihydroxy,558.44,60
Dihydroxy,472.32,60
Pentahydroxy,362.25,60
Trihydroxy,54.16,60
Trihydroxy,167.04,60
Trihydroxy,19.97,60
Trihydroxy,149.07,60
Trihydroxy,383.63,60
Monohydroxy,230.03,60
Pentahydroxy,185.98,59
Tetrahydroxy,3.99,59
Dihydroxy,38.02,59
Trihydroxy,219.08,59
Tetrahydroxy,17.02,59
Dihydroxy,107.08,59
Tetrahydroxy,202.14,58
Dihydroxy,26.02,58
Trihydroxy,3.97,58
Tetrahydroxy,53.03,58
Trihydroxy,59.03,57
Trihydroxy,495.58,57
Dihydroxy,87.07,57
Trihydroxy,56.06,57
Tetrahydroxy,0.96,56
Trihydroxy,150.97,56
Trihydroxy,73.06,56
Monohydroxy,57.02,56
Monohydroxy,53.04,56
Pentahydroxy,60.96,56
Dihydroxy,20,56
Dihydroxy,513.28,56
Nonhydroxy,248.04,56
Nonhydroxy,17.03,55
Trihydroxy,20.95,55
Dihydroxy,124.04,55
Dihydroxy,128.06,55
Dihydroxy,267.07,55
Tetrahydroxy,104.99,55
Dihydroxy,186.96,55
Dihydroxy,391.31,55
Dihydroxy,57.01,55
Trihydroxy,641.77,55
Pentahydroxy,89,55
Trihydroxy,211.03,55
Trihydroxy,53.01,54
Tetrahydroxy,19.99,54
Trihydroxy,123.04,54
Trihydroxy,71.13,54
Dihydroxy,77.06,54
Trihydroxy,279.26,54
Tetrahydroxy,68.97,54
Trihydroxy,40.01,54
Dihydroxy,158.02,54
Trihydroxy,38.02,53
Pentahydroxy,88.01,53
Trihydroxy,52.07,53
Pentahydroxy,27,52
Tetrahydroxy,14,52
Trihydroxy,303.26,52
Pentahydroxy,90.03,52
Pentahydroxy,18,52
Pentahydroxy,109.07,52
Dihydroxy,127.01,52
Dihydroxy,144.03,52
Trihydroxy,232.01,52
Trihydroxy,153,52
Dihydroxy,3.96,52
Trihydroxy,604.29,51
Trihydroxy,108.03,51
Monohydroxy,227.64,51
Trihydroxy,53.96,51
Trihydroxy,501.61,51
Trihydroxy,108.02,51
Tetrahydroxy,15.41,51
Trihydroxy,404.63,51
Trihydroxy,230.01,51
Trihydroxy,137.97,51
Dihydroxy,95.07,51
Pentahydroxy,43.93,51
Tetrahydroxy,23.05,50
Trihydroxy,519.14,50
Trihydroxy,58.08,50
Monohydroxy,339.28,50
Trihydroxy,435.25,50
Trihydroxy,3.94,50
Trihydroxy,301.24,50
Trihydroxy,483.58,50
Tetrahydroxy,26.03,50
Tetrahydroxy,118.97,50
Tetrahydroxy,208.98,50
Dihydroxy,145.15,50
Tetrahydroxy,53.11,49
Trihydroxy,374.18,49
Trihydroxy,499.13,49
Tetrahydroxy,22,49
Trihydroxy,124.02,49
Tetrahydroxy,36.12,49
Trihydroxy,493.11,49
Trihydroxy,168.03,49
Trihydroxy,56.02,49
Trihydroxy,38.48,49
Trihydroxy,184.98,48
Dihydroxy,93.08,48
Trihydroxy,435.6,48
Trihydroxy,186.06,48
Dihydroxy,145.05,48
Trihydroxy,87.03,48
Trihydroxy,92.03,48
Tetrahydroxy,535.46,48
Tetrahydroxy,203.01,48
Trihydroxy,17.81,48
Trihydroxy,26,48
Monohydroxy,36.06,48
Trihydroxy,78.01,48
Pentahydroxy,51.99,47
Trihydroxy,57.86,47
Trihydroxy,306.08,47
Dihydroxy,147.03,47
Dihydroxy,54.12,47
Monohydroxy,18.99,47
Dihydroxy,94.05,47
Trihydroxy,0.02,47
Trihydroxy,833.29,46
Trihydroxy,163.07,46
Tetrahydroxy,186.14,46
Dihydroxy,140.01,46
Pentahydroxy,109.13,46
Trihydroxy,18.21,46
Dihydroxy,401.3,46
Dihydroxy,506.33,46
Pentahydroxy,18.97,46
Tetrahydroxy,586.27,46
Trihydroxy,114.05,46
Dihydroxy,215.04,46
Trihydroxy,43.93,46
Dihydroxy,223.1,46
Dihydroxy,71.01,46
Dihydroxy,417.31,46
Dihydroxy,75.05,46
Tetrahydroxy,296.18,46
Trihydroxy,128.99,45
Trihydroxy,219,45
Trihydroxy,456.32,45
Trihydroxy,132.04,45
Trihydroxy,37.93,45
Trihydroxy,1.91,45
Trihydroxy,70.09,45
Monohydroxy,38.02,45
Trihydroxy,296.05,45
Trihydroxy,23.99,45
Trihydroxy,816.58,45
Trihydroxy,164.94,45
Trihydroxy,36.04,45
Trihydroxy,375.64,44
Trihydroxy,510.63,44
Trihydroxy,233.06,44
Trihydroxy,55.01,44
Pentahydroxy,110.06,44
Monohydroxy,36.17,44
Trihydroxy,122,44
Trihydroxy,74.04,44
Monohydroxy,48.07,44
Monohydroxy,409.11,44
Trihydroxy,101.03,44
Trihydroxy,36.9,44
Trihydroxy,90.01,44
Tetrahydroxy,182.15,44
Trihydroxy,131.04,44
Pentahydroxy,108.12,44
Trihydroxy,33,44
Dihydroxy,40.04,43
Tetrahydroxy,36.95,43
Trihydroxy,88.09,43
Trihydroxy,470.15,43
Trihydroxy,50.96,43
Trihydroxy,631.31,43
Dihydroxy,229.08,43
Tetrahydroxy,0.01,43
Trihydroxy,483.57,43
Trihydroxy,267.07,43
Trihydroxy,10.02,43
Dihydroxy,509.32,42
Trihydroxy,223.49,42
Dihydroxy,662.36,42
Tetrahydroxy,70.5,42
Pentahydroxy,282.24,42
Trihydroxy,374.29,42
Dihydroxy,314.28,42
Trihydroxy,57.06,42
Tetrahydroxy,74.08,42
Pentahydroxy,56.99,41
Trihydroxy,595.25,41
Dihydroxy,54.18,41
Trihydroxy,166.97,41
Tetrahydroxy,604.28,41
Trihydroxy,435.24,41
Trihydroxy,504.08,41
Trihydroxy,509.31,41
Trihydroxy,60.04,41
Dihydroxy,1,41
Tetrahydroxy,465.57,41
Trihydroxy,673.37,41
Tetrahydroxy,602.27,41
Tetrahydroxy,18,40
Trihydroxy,106.94,40
Trihydroxy,71.05,40
Monohydroxy,89.05,40
Pentahydroxy,92.03,40
Dihydroxy,111.07,40
Trihydroxy,65.03,40
Trihydroxy,88.06,40
Trihydroxy,53.92,40
Dihydroxy,281.27,40
Trihydroxy,38.06,40
Trihydroxy,232.07,40
Tetrahydroxy,43.94,40
Trihydroxy,168.94,40
Trihydroxy,51.97,40
Dihydroxy,35,40
Tetrahydroxy,73.05,40
Trihydroxy,71.03,40
Dihydroxy,87.03,39
Dihydroxy,20.01,39
Dihydroxy,30.06,39
Tetrahydroxy,19,39
Tetrahydroxy,467.58,39
Dihydroxy,593.23,39
Dihydroxy,303.26,39
Dihydroxy,6.03,39
Monohydroxy,52.07,39
Trihydroxy,536.17,39
Dihydroxy,57.07,39
Trihydroxy,137.06,39
Trihydroxy,388.27,39
Dihydroxy,204.99,39
Monohydroxy,21.95,39
Trihydroxy,158.02,39
Pentahydroxy,55.02,39
Tetrahydroxy,212.14,39
Trihydroxy,367.21,38
Trihydroxy,445.11,38
Tetrahydroxy,372.27,38
Trihydroxy,816.26,38
Dihydroxy,491.3,38
Monohydroxy,9.98,38
Trihydroxy,72.14,38
Dihydroxy,114.04,38
Trihydroxy,124.05,38
Monohydroxy,46.06,38
Trihydroxy,470.24,38
Dihydroxy,168.07,38
Trihydroxy,115.64,38
Trihydroxy,407.28,38
Trihydroxy,166.04,38
Pentahydroxy,108.02,38
Trihydroxy,1.96,38
Monohydroxy,236.21,38
Trihydroxy,494.1,38
Trihydroxy,427.77,38
Trihydroxy,14.02,38
Trihydroxy,16.01,37
Tetrahydroxy,466.57,37
Trihydroxy,404.25,37
Trihydroxy,556.32,37
Trihydroxy,5.98,37
Trihydroxy,168.12,37
Trihydroxy,156.1,37
Trihydroxy,88,37
Trihydroxy,150.99,37
Trihydroxy,204.12,37
Dihydroxy,179.13,36
Dihydroxy,114.08,36
Trihydroxy,157.09,36
Dihydroxy,372.26,36
Dihydroxy,399.29,36
Trihydroxy,89.05,36
Dihydroxy,236.09,36
Trihydroxy,495.57,36
Trihydroxy,4.02,36
Trihydroxy,641.78,36
Trihydroxy,782.2,36
Trihydroxy,105.99,35
Trihydroxy,80.03,35
Dihydroxy,233.06,35
Trihydroxy,20.01,35
Trihydroxy,138,35
Trihydroxy,118.09,35
Tetrahydroxy,183.96,35
Dihydroxy,179.08,35
Dihydroxy,113.03,35
Tetrahydroxy,18.97,35
Monohydroxy,35.02,35
Trihydroxy,123.01,35
Trihydroxy,211.07,35
Tetrahydroxy,85,35
Dihydroxy,111.05,35
Pentahydroxy,28.96,34
Dihydroxy,73.05,34
Dihydroxy,71,34
Dihydroxy,481.29,34
Tetrahydroxy,390.27,34
Trihydroxy,30.98,34
Trihydroxy,78.97,34
Trihydroxy,113.1,34
Monohydroxy,323.11,34
Monohydroxy,40.01,34
Dihydroxy,36.95,34
Tetrahydroxy,566.25,33
Trihydroxy,55.95,33
Trihydroxy,120.98,33
Trihydroxy,71.01,33
Trihydroxy,73.95,33
Tetrahydroxy,61.94,33
Dihydroxy,163.07,33
Dihydroxy,299.28,33
Trihydroxy,26.04,33
Dihydroxy,595.26,33
Tetrahydroxy,90.1,33
Tetrahydroxy,405.28,33
Trihydroxy,40.04,32
Dihydroxy,55.04,32
Monohydroxy,39.02,32
Dihydroxy,53.02,32
Dihydroxy,21.04,32
Trihydroxy,166.99,32
Dihydroxy,27.01,32
Trihydroxy,110.05,32
Dihydroxy,319.25,32
Tetrahydroxy,92.03,32
Tetrahydroxy,54.05,32
Trihydroxy,8.95,32
Trihydroxy,36.09,32
Trihydroxy,53.97,32
